C100004,61,5,7502,3,Regular Buyer
C100005,34,2,2400.68,1,Occasional Buyer
C100006,44,3,322.56,1,Occasional Buyer
C100012,25,5,130.75,1,Occasional Buyer
C100019,21,1,35.84,1,Occasional Buyer
C100025,55,2,143.36,0,Low Spender
C100028,21,1,15.15,1,Occasional Buyer
C100030,46,4,4801.28,3,Regular Buyer
C100034,60,2,1200.32,0,Low Spender
C100041,50,3,2700.7200000000003,3,Regular Buyer
C100042,28,4,650.56,1,Occasional Buyer
C100045,48,1,5.23,0,Low Spender
C100066,46,3,322.56,0,Low Spender
C100067,62,1,600.17,0,Low Spender
C100078,64,2,60.6,0,Low Spender
C100088,30,1,5.23,1,Occasional Buyer
C100090,62,2,162.64,0,Low Spender
C100095,31,5,130.75,3,Regular Buyer
C100096,40,3,2700.7200000000003,1,Occasional Buyer
C100099,64,3,136.35000000000002,0,Low Spender
C100102,18,3,2700.7200000000003,1,Occasional Buyer
C100105,49,1,5.23,0,Low Spender
C100106,54,4,4801.28,3,Regular Buyer
C100110,28,5,7502,2,VIP / High Spender
C100112,68,1,300.08,0,Low Spender
C100113,48,4,4801.28,3,Regular Buyer
C100115,62,1,40.66,0,Low Spender
C100121,64,1,11.73,0,Low Spender
C100123,40,3,365.94,1,Occasional Buyer
C100124,45,3,47.07,0,Low Spender
C100130,42,3,5401.53,3,Regular Buyer
C100132,53,3,47.07,0,Low Spender
C100138,58,2,2400.68,0,Low Spender
C100139,35,1,1050,1,Occasional Buyer
C100141,33,2,60.6,1,Occasional Buyer
C100148,63,3,2700.7200000000003,0,Low Spender
C100152,45,2,1200.32,0,Low Spender
C100154,54,1,15.15,0,Low Spender
C100155,61,1,300.08,0,Low Spender
C100156,62,4,83.68,3,Regular Buyer
C100157,42,5,1016.5,3,Regular Buyer
C100159,32,5,896,3,Regular Buyer
C100168,48,5,26250,2,VIP / High Spender
C100172,41,4,573.44,3,Regular Buyer
C100175,22,4,9602.72,2,VIP / High Spender
C100176,54,3,2700.7200000000003,0,Low Spender
C100181,33,5,896,3,Regular Buyer
C100182,37,5,293.25,3,Regular Buyer
C100184,29,2,4200,1,Occasional Buyer
C100188,42,4,573.44,3,Regular Buyer
C100189,33,3,322.56,1,Occasional Buyer
C100190,37,1,35.84,1,Occasional Buyer
C100198,63,2,162.64,0,Low Spender
C100199,35,4,16800,2,VIP / High Spender
C100201,64,1,300.08,0,Low Spender
C100204,59,5,1016.5,3,Regular Buyer
C100211,62,4,9602.72,2,VIP / High Spender
C100218,26,5,7502,2,VIP / High Spender
C100221,30,4,9602.72,2,VIP / High Spender
C100225,26,2,143.36,1,Occasional Buyer
C100232,24,1,600.17,1,Occasional Buyer
C100235,66,3,2700.7200000000003,0,Low Spender
C100236,59,2,1200.32,0,Low Spender
C100241,28,4,650.56,1,Occasional Buyer
C100242,25,1,5.23,1,Occasional Buyer
C100246,25,2,1200.32,1,Occasional Buyer
C100247,21,2,2400.68,1,Occasional Buyer
C100253,62,1,600.17,0,Low Spender
C100254,52,4,16800,2,VIP / High Spender
C100256,38,3,47.07,1,Occasional Buyer
C100259,22,2,143.36,1,Occasional Buyer
C100261,63,4,4801.28,3,Regular Buyer
C100272,23,4,83.68,1,Occasional Buyer
C100273,40,1,300.08,0,Low Spender
C100281,38,2,1200.32,1,Occasional Buyer
C100282,31,2,1200.32,1,Occasional Buyer
C100283,42,2,1200.32,0,Low Spender
C100284,52,3,9450,2,VIP / High Spender
C100285,45,1,300.08,0,Low Spender
C100286,58,4,4801.28,3,Regular Buyer
C100291,39,3,105.57,1,Occasional Buyer
C100297,39,3,365.94,1,Occasional Buyer
C100298,31,3,2700.7200000000003,1,Occasional Buyer
C100299,22,1,15.15,1,Occasional Buyer
C100301,19,1,15.15,1,Occasional Buyer
C100305,44,1,300.08,0,Low Spender
C100306,35,5,26250,2,VIP / High Spender
C100307,51,1,300.08,0,Low Spender
C100309,53,2,1200.32,0,Low Spender
C100311,66,4,650.56,3,Regular Buyer
C100313,52,5,7502,3,Regular Buyer
C100314,24,2,162.64,1,Occasional Buyer
C100315,60,5,7502,3,Regular Buyer
C100322,24,5,26250,2,VIP / High Spender
C100329,36,2,20.92,1,Occasional Buyer
C100330,42,3,322.56,1,Occasional Buyer
C100331,23,4,9602.72,2,VIP / High Spender
C100333,32,5,7502,2,VIP / High Spender
C100336,55,3,2700.7200000000003,0,Low Spender
C100346,63,5,7502,3,Regular Buyer
C100347,58,2,2400.68,0,Low Spender
C100349,40,5,7502,2,VIP / High Spender
C100355,23,2,162.64,1,Occasional Buyer
C100361,40,3,47.07,1,Occasional Buyer
C100364,57,5,7502,3,Regular Buyer
C100367,51,1,11.73,0,Low Spender
C100368,50,4,650.56,3,Regular Buyer
C100369,57,5,7502,3,Regular Buyer
C100376,38,3,136.35000000000002,1,Occasional Buyer
C100379,20,2,2400.68,1,Occasional Buyer
C100383,27,1,5.23,1,Occasional Buyer
C100384,64,4,242.4,3,Regular Buyer
C100386,66,3,2700.7200000000003,0,Low Spender
C100398,52,1,300.08,0,Low Spender
C100400,60,1,300.08,0,Low Spender
C100401,35,5,7502,2,VIP / High Spender
C100402,30,1,300.08,1,Occasional Buyer
C100403,53,5,7502,3,Regular Buyer
C100404,36,3,47.07,1,Occasional Buyer
C100406,68,5,7502,3,Regular Buyer
C100410,58,3,2700.7200000000003,0,Low Spender
C100415,57,1,11.73,0,Low Spender
C100416,64,1,5.23,0,Low Spender
C100420,53,4,4801.28,3,Regular Buyer
C100421,22,1,600.17,1,Occasional Buyer
C100427,36,3,365.94,1,Occasional Buyer
C100438,34,4,4801.28,3,Regular Buyer
C100439,52,2,143.36,0,Low Spender
C100440,32,1,5.23,1,Occasional Buyer
C100441,35,3,2700.7200000000003,1,Occasional Buyer
C100444,66,4,650.56,3,Regular Buyer
C100446,27,4,573.44,1,Occasional Buyer
C100449,42,2,20.92,0,Low Spender
C100451,32,4,9602.72,2,VIP / High Spender
C100454,51,4,4801.28,3,Regular Buyer
C100455,45,3,2700.7200000000003,3,Regular Buyer
C100459,26,3,47.07,1,Occasional Buyer
C100462,54,3,5401.53,3,Regular Buyer
C100463,48,2,20.92,0,Low Spender
C100467,57,5,130.75,3,Regular Buyer
C100471,40,3,365.94,1,Occasional Buyer
C100472,64,1,5.23,0,Low Spender
C100473,66,2,20.92,0,Low Spender
C100474,28,5,7502,2,VIP / High Spender
C100477,45,4,83.68,3,Regular Buyer
C100478,29,5,896,3,Regular Buyer
C100481,49,4,242.4,3,Regular Buyer
C100484,48,4,573.44,3,Regular Buyer
C100488,57,3,47.07,0,Low Spender
C100490,36,4,4801.28,3,Regular Buyer
C100493,53,2,143.36,0,Low Spender
C100494,38,3,9450,2,VIP / High Spender
C100496,53,2,2400.68,0,Low Spender
C100507,33,5,7502,2,VIP / High Spender
C100508,22,3,2700.7200000000003,1,Occasional Buyer
C100515,46,4,573.44,3,Regular Buyer
C100519,55,2,1200.32,0,Low Spender
C100521,62,3,322.56,0,Low Spender
C100523,31,4,4801.28,1,Occasional Buyer
C100525,36,2,1200.32,1,Occasional Buyer
C100529,19,3,47.07,1,Occasional Buyer
C100535,67,1,35.84,0,Low Spender
C100539,28,5,293.25,3,Regular Buyer
C100540,48,2,20.92,0,Low Spender
C100544,40,3,365.94,1,Occasional Buyer
C100545,68,4,16800,2,VIP / High Spender
C100549,48,5,1016.5,3,Regular Buyer
C100551,32,1,1050,1,Occasional Buyer
C100561,66,4,9602.72,2,VIP / High Spender
C100563,20,1,300.08,1,Occasional Buyer
C100570,62,5,7502,3,Regular Buyer
C100572,29,3,2700.7200000000003,1,Occasional Buyer
C100574,27,2,1200.32,1,Occasional Buyer
C100576,30,4,4801.28,1,Occasional Buyer
C100579,28,3,365.94,1,Occasional Buyer
C100587,57,2,143.36,0,Low Spender
C100599,28,5,7502,2,VIP / High Spender
C100605,48,5,130.75,3,Regular Buyer
C100606,25,4,4801.28,1,Occasional Buyer
C100607,54,5,26250,2,VIP / High Spender
C100610,37,1,300.08,1,Occasional Buyer
C100622,23,2,143.36,1,Occasional Buyer
C100625,27,1,11.73,1,Occasional Buyer
C100629,62,5,896,3,Regular Buyer
C100630,69,3,5401.53,0,Low Spender
C100636,38,5,896,3,Regular Buyer
C100639,44,3,2700.7200000000003,3,Regular Buyer
C100640,22,2,1200.32,1,Occasional Buyer
C100642,63,2,2400.68,0,Low Spender
C100648,25,3,2700.7200000000003,1,Occasional Buyer
C100651,58,1,1050,0,Low Spender
C100654,19,3,2700.7200000000003,1,Occasional Buyer
C100655,22,2,162.64,1,Occasional Buyer
C100656,63,5,7502,3,Regular Buyer
C100657,69,4,187.68,3,Regular Buyer
C100661,19,3,5401.53,1,Occasional Buyer
C100663,52,1,5.23,0,Low Spender
C100666,50,2,143.36,0,Low Spender
C100671,44,2,1200.32,0,Low Spender
C100672,25,5,7502,2,VIP / High Spender
C100676,26,3,2700.7200000000003,1,Occasional Buyer
C100677,51,3,2700.7200000000003,3,Regular Buyer
C100684,38,1,35.84,1,Occasional Buyer
C100687,59,5,7502,3,Regular Buyer
C100688,39,3,105.57,1,Occasional Buyer
C100690,36,4,9602.72,2,VIP / High Spender
C100691,51,1,600.17,0,Low Spender
C100694,61,4,83.68,3,Regular Buyer
C100696,39,3,5401.53,1,Occasional Buyer
C100697,40,5,1016.5,3,Regular Buyer
C100703,47,5,1016.5,3,Regular Buyer
C100705,21,2,1200.32,1,Occasional Buyer
C100706,43,3,5401.53,3,Regular Buyer
C100709,52,5,15004.25,2,VIP / High Spender
C100710,36,4,242.4,3,Regular Buyer
C100713,23,3,9450,2,VIP / High Spender
C100718,39,4,573.44,3,Regular Buyer
C100720,52,3,2700.7200000000003,0,Low Spender
C100722,41,1,11.73,0,Low Spender
C100725,55,1,300.08,0,Low Spender
C100728,50,1,300.08,0,Low Spender
C100735,57,4,650.56,3,Regular Buyer
C100736,35,1,300.08,1,Occasional Buyer
C100743,54,3,322.56,0,Low Spender
C100745,46,4,16800,2,VIP / High Spender
C100746,54,2,143.36,0,Low Spender
